n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,latitude,longitude
Ref_0001,Actualisé (S.),11,Alzonne,,FEP Médiathèque,Carcasonne Agglo,11170,Parc municipal,,Parc municipal 11170 Alzonne,,Médiathèque,,04 68 76 33 02,fep.alzonne@wanadoo.fr,https://mediatheque.carcassonne-agglo.fr/fr/index.html,Fermé,14h-18h,10h-12h30 / 14h-18h,Fermé,14h-18h,10h-13h,Fermé,Decembre 2018,,,ORD,,,,,,,,,,,,,,,,,,,,,,,,43.254495,2.175926,ORD,,,43.254495,2.175926
Ref_0002,,11,Berriac,,Le Relai,,11000,,,11000 Berriac,Association,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.213065,2.402611,,,,43.213065,2.402611
Ref_0003,,11,Bouisse,,Maison de services au public POM's de Bouisse,,11330,11 Avenue Las Nautas Corbieras,,11 Avenue Las Nautas Corbieras 11330 Bouisse,,MSAP,,04 68 48 88 73,poms.bouisse@orange.fr,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.986901,2.45379,,,,42.986901,2.45379
Ref_0004,Actualisé (S.),11,Boutenac,,Mediatheque Milcom de Boutenac,,11200,8 Boulevard de Ronde,,8 Boulevard de Ronde 11200 Boutenac,Collectivité territoriale,Médiathèque,,04 68 45 79 61,contact@ccrlcm.fr,https://www.ccrlcm.fr/,,14h-18h,14h-18h,,14h-18h,,,Octobre 2020,,,ORD,,,,,,,,,,,,,,,,,,,,,,,,43.147672,2.788775,ORD,,,43.147672,2.788775
Ref_0005,,11,Bram,,France Services - Piège Lauragais Malepere,Communauté De Commune PIEGE LAURAGAIS MALEPERE,11150,62 rue bonrepos,,62 rue bonrepos 11150 Bram,Collectivité territoriale,,,,msap@ccplm.fr,,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.241583,2.118852,,,,43.241583,2.118852
Ref_0006,,11,Capendu,,France Services / MSAP - Carcassone Agglo,CARCASSONNE AGGLO,11700,2 rue des Figuères,,2 rue des Figuères 11700 Capendu,Collectivité territoriale,,,,msap@carcassonne-agglo.fr,,8:00 - 13:00 / 14:00 - 17:00,8:00 - 13:00 / 14:00 - 17:00,8:30 - 12:00,8:00 - 13:00 / 14:00 - 17:00,8:00 - 13:00 / 14:00 - 17:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.184142,2.556949,,,,43.184142,2.556949
Ref_0007,Actualisé (S.),11,Carcasonne,,R'MINE - FABLAB CARACASSONNE AGGLO,CARCASSONNE AGGLO,11000,20 rue Claude CHAPPE,,20 rue Claude CHAPPE 11000 Carcasonne,Collectivité territoriale,,,04.68.11.95.58,rmine@carcassonne-agglo.fr,https://fablab.rmine.fr/,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,Fermé,Fermé,Octobre 2020,,,FL,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.21177,2.324315,FL,,,43.21177,2.324315
Ref_0008,Actualisé (S.),11,Carcassonne,,Régie de quartier,Le Comité National de liaison des Régies de quartier,11000,46 bis rue Alexandre Guiraud,,46 bis rue Alexandre Guiraud 11000 Carcassonne,Association,,,04 68 47 22 71 / 04 68 25 80 32,secretariat@regiedesquartiers.com,https://www.regie-quartiers-carcassonne.fr/,8h - 12h / 13h30 - 17h,8h - 12h / 13h30 - 17h,8h - 12h / 13h30 - 17h,8h - 12h / 13h30 - 17h,8h-12h,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.213581,2.366162,,,,43.213581,2.366162
Ref_0009,,11,Carcassonne,,Espace Culturel Multimédia,,11000,,,11000 Carcassonne,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.20678,2.349411,,,,43.20678,2.349411
Ref_0010,Actualisé (S.),11,Narbonne,,acti city - Information Jeunesse,,11100,13 BOULEVARD GAMBETTA,,13 BOULEVARD GAMBETTA 11100 Narbonne,Association,,,04 68 25 12 25,contact@acticity.com,https://acticity.com/nous-rencontrer/,,13h30-18h,13h30-18h,13h30-18h,13h30-18h,13h30-18h,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.182781,3.007413,,,,43.182781,3.007413
Ref_0011,,11,Carcassonne,,Logigames,,11000,25 boulevard de Varsovie,,25 boulevard de Varsovie 11000 Carcassonne,Entreprise,Entreprise,,04 68 72 67 04,logigames2001@yahoo.fr,logigames.fr,,10h – 19h,10h – 19h,10h – 19h,10h – 19h,13h - 21h,,Decembre 2019,,,ORDM,,,,ACCN,,,,,,,,,,,,,,,,,,,,43.213934,2.346802,ORDM-ACCN,,,43.213934,2.346802
Ref_0012,,11,Caves,,ATRIUM,,11510,,,11510 Caves,,,,,atriumcaves@gmail.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.93109,2.974247,,,,42.93109,2.974247
Ref_0013,,11,Davejean,,Maison de services au public POM'S de Davejean,,11330,rue de la poste,,rue de la poste 11330 Davejean,,MSAP,,04 68 70 09 47,poms.davejean@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.96053,2.606019,,,,42.96053,2.606019
Ref_0014,,11,Fabrezan,,Mediatheque Milcom de Fabrezan,,11200,1 Avenue de la Mairie,,1 Avenue de la Mairie 11200 Fabrezan,Collectivité territoriale,Médiathèque,,04 68 43 71 92,,,,,,,,,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.137194,2.70024,ORD,TP,,43.137194,2.70024
Ref_0015,,11,Lezignan,,Isis (epicerie solidaire),,11200,39 rue Lamartine,,39 rue Lamartine 11200 Lezignan,Association,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.202429,2.757544,,,,43.202429,2.757544
Ref_0016,,11,Lezignan Corbières,,MJC Lezignan Corbières,,11200,25 Rue Marat,,25 Rue Marat 11200 Lezignan Corbières,Association,MJC,,04 68 27 03 34,mjc.lezignan.corbieres@wanadoo.fr,www.mjc-lezignan-corbieres.com,08h - 20h,08h - 20h,08h - 20h,08h - 20h,08h - 20h,08h - 13h,,Decembre 2019,,,ORD,TP,,,ACCDS,,,,COMP,TP-J-DE,,,,,,,,,,,TL-APTIC,Tiers lieu - APTIC,,,43.199696,2.757916,ORD-ACCDS-COMP,TP-TP-J-DE,,43.199696,2.757916
Ref_0017,,65,Bagnères de Bigorre,,Maison Départementale de la Solidarité site de Bagnères,,65200,1 avenue de Castelmouly,,1 avenue de Castelmouly 65200 Bagnères de Bigorre,,,Département des Hautes Pyrénées,05 31 74 36 20,mds.hautadour@ha-py.fr,www.hautespyrenees.fr,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,,,Février 2021,,,ACCDA,TP,RDV avec une secrétaire pour aide à faire des démarches en ligne (accès aux droits) et si la situation est complexe  avec un travailleur social,,,,,,,,,,,,,,,,,,,,,,43.070241,0.148586,ACCDA,TP,,43.070241,0.148586
Ref_0018,,11,Limoux,,France Services - Limouxin,MSA,11300,17 chemin Farinier,,17 chemin Farinier 11300 Limoux,,,,,,,8:30 - 12:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00,8:30 - 12:00,8:30 - 12:00 / 13:30 - 16:30,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.057309,2.213259,,,,43.057309,2.213259
Ref_0019,,11,Limoux,,TIERS LIEUX LIMOUX,,11300,7  rue du Cougaing,,7  rue du Cougaing 11300 Limoux,SCIC SARL,SCIC SAPIE,,468747330,tll@sapie.coop,http://sapie.coop,8h à 18h30,8h à 18h30,8h à 18h30,8h à 18h30,8h à 18h30,,,Novembre 20,,,W,J-DE-ALL,Pour également les indépendant-es  professionnel-les  salarié-es en télétravail Un espace de travail partagé composé d'un coworking et de bureaux fermés  avec connexion wifi et offrant un accès aux espaces collectifs (cuisine  jardin  salle de repos  salles de réunion et de formation ...) et à du matériel (imprimantes  scanner). Retrouver le détail des tarifs sur notre site : https://sapie.coop/site/coworking/ Ouvert du lundi au vendredi de 8h à 18h30 et le mardi jusqu'à 20h,,PRO,DE-ALL,Pour également les Salarié-es  professionnel-les  indépendant-es Offre de formations certifiantes sur les compétences numériques  éligibles au CPF.,,COMP,TP,,,ENT,TP,,,FL,TP,Mise à disposition de machines 3 D : découpe laser  fraiseuse CNC  imprimantes 3D et d'outils de bricolage .... FabLab ouvert le mercredi et le jeudi de 14h à18h30 Adhésion et abonnement : 30 €/an pour un accès gratuit à l'atelier et au petit outillage. Permis machines payants ( 180 €) délivrés sur place pour une utilisation autonome Repair café le jeudi tous les 15 jours,,TL-APTIC,Tiers lieu - APTIC,Oui,,43.055492,2.212835,W-PRO-COMP-ENT-FL,J-DE-ALL-DE-ALL-TP-TP-TP,,43.055492,2.212835
Ref_0020,,11,Mouthoumet,,Centre social Adhco,,11330,23 rue de la gare,,23 rue de la gare 11330 Mouthoumet,,Centre social,,04 68 70 18 50,adhco.developpement@orange.fr,http://www.adhco.fr/,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.960106,2.528877,,,,42.960106,2.528877
Ref_0021,,11,Mouthoumet,,France Services - Massif de Mouthoumet,ADHCO CENTRE SOCIAL,11330,23 rue de la gare,,23 rue de la gare 11330 Mouthoumet,Association,,,04 68 70 18 50,adhco.developpement@orange.fr,,9:00 - 12:30 / 14:00 - 17:30,9:00 - 12:30 / 14:00 - 17:30,9:00 - 12:30 / 14:00 - 17:30,9:00 - 12:30 / 14:00 - 17:30,9:00 - 12:30 / 14:00 - 17:30,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,42.960106,2.528877,,,,42.960106,2.528877
Ref_0022,,11,Narbonne,,Ecole régionale deuxieme chance,,11000,,,11000 Narbonne,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.205257,2.401897,,,,43.205257,2.401897
