n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,wifi,precisions,codes_types_mediations,codes_publics,codes_thematiques,lat,lon,BAN_latitude,BAN_longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode,BAN_depcode
Ref_0001,Actualisé (S.),11,Alzonne,,FEP Médiathèque,Carcasonne Agglo,11170,Parc municipal,,Parc municipal 11170 Alzonne,,Médiathèque,,04 68 76 33 02,fep.alzonne@wanadoo.fr,https://mediatheque.carcassonne-agglo.fr/fr/index.html,Fermé,14h-18h,10h-12h30 / 14h-18h,Fermé,14h-18h,10h-13h,Fermé,Decembre 2018,,,ORD,,,,,,,,,,,,,,,,,,,,,,,ORD,,,43.254495,2.175926,43.254495,2.175926,Rue du Parc,Rue du Parc 11170 Alzonne,Alzonne,11170,11
Ref_0002,,11,Berriac,,Le Relai,,11000,,,11000 Berriac,Association,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.213065,2.402611,43.213065,2.402611,Berriac,Berriac,Berriac,11000,11
Ref_0003,,11,Bouisse,,Maison de services au public POM's de Bouisse,,11330,11 Avenue Las Nautas Corbieras,,11 Avenue Las Nautas Corbieras 11330 Bouisse,,MSAP,,04 68 48 88 73,poms.bouisse@orange.fr,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,MSAP,,,,,,42.986901,2.45379,42.986901,2.45379,11 Avenue de Las Nautas Corbieras,11 Avenue de Las Nautas Corbieras 11330 Bouisse,Bouisse,11330,11
Ref_0004,Actualisé (S.),11,Boutenac,,Mediatheque Milcom de Boutenac,,11200,8 Boulevard de Ronde,,8 Boulevard de Ronde 11200 Boutenac,Collectivité territoriale,Médiathèque,,04 68 45 79 61,contact@ccrlcm.fr,https://www.ccrlcm.fr/,,14h-18h,14h-18h,,14h-18h,,,Octobre 2020,,,ORD,,,,,,,,,,,,,,,,,,,,,,,ORD,,,43.147672,2.788775,43.147672,2.788775,8 Boulevard de Ronde,8 Boulevard de Ronde 11200 Boutenac,Boutenac,11200,11
Ref_0005,,11,Bram,,France Services - Piège Lauragais Malepere,Communauté De Commune PIEGE LAURAGAIS MALEPERE,11150,62 rue bonrepos,,62 rue bonrepos 11150 Bram,Collectivité territoriale,,,,msap@ccplm.fr,,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,,,,43.241583,2.118852,43.241583,2.118852,62 Rue Bonrepos,62 Rue Bonrepos 11150 Bram,Bram,11150,11
Ref_0006,,11,Capendu,,France Services / MSAP - Carcassone Agglo,CARCASSONNE AGGLO,11700,2 rue des Figuères,,2 rue des Figuères 11700 Capendu,Collectivité territoriale,,,,msap@carcassonne-agglo.fr,,8:00 - 13:00 / 14:00 - 17:00,8:00 - 13:00 / 14:00 - 17:00,8:30 - 12:00,8:00 - 13:00 / 14:00 - 17:00,8:00 - 13:00 / 14:00 - 17:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,,,,43.184142,2.556949,43.184142,2.556949,2 Rue des Figuéres,2 Rue des Figuéres 11700 Capendu,Capendu,11700,11
Ref_0007,Actualisé (S.),11,Carcasonne,,R'MINE - FABLAB CARACASSONNE AGGLO,CARCASSONNE AGGLO,11000,20 rue Claude CHAPPE,,20 rue Claude CHAPPE 11000 Carcasonne,Collectivité territoriale,,,04.68.11.95.58,rmine@carcassonne-agglo.fr,https://fablab.rmine.fr/,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,Fermé,Fermé,Octobre 2020,,,FL,,,,,,,,,,,,,,,,,,,,TL,,,FL,,,43.21177,2.324315,43.21177,2.324315,20 Rue Claude Chappe,20 Rue Claude Chappe 11000 Carcassonne,Carcassonne,11000,11
Ref_0008,Actualisé (S.),11,Carcassonne,,Régie de quartier,Le Comité National de liaison des Régies de quartier,11000,46 bis rue Alexandre Guiraud,,46 bis rue Alexandre Guiraud 11000 Carcassonne,Association,,,04 68 47 22 71 / 04 68 25 80 32,secretariat@regiedesquartiers.com,https://www.regie-quartiers-carcassonne.fr/,8h - 12h / 13h30 - 17h,8h - 12h / 13h30 - 17h,8h - 12h / 13h30 - 17h,8h - 12h / 13h30 - 17h,8h-12h,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.213581,2.366162,43.213581,2.366162,46bis Rue Alexandre Guiraud,46bis Rue Alexandre Guiraud 11000 Carcassonne,Carcassonne,11000,11
Ref_0009,,11,Carcassonne,,Espace Culturel Multimédia,,11000,,,11000 Carcassonne,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.20678,2.349411,43.20678,2.349411,Carcassonne,Carcassonne,Carcassonne,11000,11
Ref_0010,Actualisé (S.),11,Narbonne,,acti city - Information Jeunesse,,11100,13 BOULEVARD GAMBETTA,,13 BOULEVARD GAMBETTA 11100 Narbonne,Association,,,04 68 25 12 25,contact@acticity.com,https://acticity.com/nous-rencontrer/,,13h30-18h,13h30-18h,13h30-18h,13h30-18h,13h30-18h,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.182781,3.007413,43.182781,3.007413,13 Boulevard Gambetta,13 Boulevard Gambetta 11100 Narbonne,Narbonne,11100,11
